after,distnoab,timetorecid,traffcoc,ban,age,black,male,totalyearssentenced,prioroffensenumber,countoffenses,anyrecid,finrecidany,nonfinrecidany
1,2961,,1,1,33,0,1,5,0,1,0,0,0
1,1732,,0,1,56,0,1,2,0,1,0,0,0
1,5922,,0,1,38,1,0,3,1,2,0,0,0
1,2953,,1,1,45,0,1,3,0,2,0,0,0
1,5535,,1,1,44,1,1,4.3643837,2,2,0,0,0
1,4861,500,0,1,26,1,1,3,2,1,1,0,1
1,4893,,0,1,21,0,1,3.3287671,0,2,0,0,0
1,790,,1,1,45,0,1,8,0,1,0,0,0
1,3596,,1,1,25,1,1,3.5753424,0,1,0,0,0
1,3504,,1,1,54,0,1,5,0,1,0,0,0
1,4400,,1,1,26,0,1,4.0876713,2,2,0,0,0
1,4358,,0,1,48,0,1,2,0,1,0,0,0
1,3699,681,0,1,27,0,1,4,0,3,1,1,0
1,3879,1812,0,1,35,1,1,2.0684931,0,3,1,1,0
1,5201,,0,1,43,0,1,3.1972604,0,1,0,0,0
1,2483,,0,1,35,0,1,7,0,2,0,0,0
1,5445,,0,1,22,1,1,3,0,1,0,0,0
1,4395,,0,1,30,1,1,6,0,1,0,0,0
1,1104,,0,1,21,1,0,1.4328767,0,3,0,0,0
1,115,,1,1,25,1,1,3,0,1,0,0,0
1,4367,78,0,1,35,0,1,4.8438358,5,2,1,1,0
1,3309,,0,1,60,0,1,3,0,2,0,0,0
1,1787,,0,1,24,0,1,3,0,1,0,0,0
1,2294,647,1,1,27,1,1,2,1,3,1,1,0
0,-253,,1,1,52,0,1,7,0,1,0,0,0
1,1826,,0,1,23,0,1,1.4931507,0,1,0,0,0
1,5698,,0,1,50,1,1,1.0027397,0,1,0,0,0
1,2078,,0,1,25,0,1,3,0,1,0,0,0
1,2783,,1,1,28,1,1,3,0,2,0,0,0
1,328,349,0,1,24,1,1,2.410959,0,3,1,0,1
1,4347,,1,1,23,0,1,3.0630138,1,2,0,0,0
1,3450,,1,1,27,1,1,3.4767122,0,1,0,0,0
1,840,,0,1,65,0,1,5,1,1,0,0,0
1,6636,,0,1,48,1,0,1.4931507,0,1,0,0,0
1,6656,,0,1,40,1,0,1.4931507,0,2,0,0,0
1,5215,,0,1,35,0,1,3,1,1,0,0,0
1,2432,,0,1,44,0,1,2,0,1,0,0,0
1,3575,,1,1,36,1,1,3,0,2,0,0,0
1,3505,,0,1,22,0,1,4,0,4,0,0,0
1,1638,,1,1,32,1,1,6,1,1,0,0,0
1,4219,,0,1,37,1,1,7.4931507,2,1,0,0,0
